decade,key,tempo_bin,count,major_ratio,avg_tempo
1990,6,35,1,1,38.71
1990,7,35,1,1,39.355
1990,8,35,2,0.5,39.149
1990,9,35,3,0.333333333,38.91333333
1990,10,35,1,0,35.908
1990,11,35,3,0.333333333,37.87533333
2000,0,35,10,0.7,37.4969
2000,1,35,2,1,39.414
2000,2,35,7,0.571428571,37.686
2000,3,35,4,0.75,36.03425
2000,4,35,6,0.833333333,37.84616667
2000,5,35,7,0.857142857,38.556
2000,6,35,7,0.714285714,37.36442857
2000,7,35,11,0.909090909,37.46818182
2000,8,35,3,1,36.34166667
2000,9,35,8,0.5,37.993125
2000,10,35,6,0.666666667,37.967
2000,11,35,3,0,38.75933333
2010,11,35,1,0,39.013
1950,3,40,1,1,42.515
1950,7,40,1,1,43.859
1950,9,40,1,0,42.828
1960,0,40,4,1,42.49275
1960,1,40,1,1,44.947
1960,2,40,2,1,41.73
1960,5,40,1,1,43.874
1960,9,40,1,1,43.639
1960,10,40,1,1,43.484
1970,0,40,2,0.5,43.9935
1970,2,40,2,0,42.464
1970,3,40,1,1,43.846
1970,5,40,1,0,43.708
1970,7,40,1,0,44.17
1970,9,40,3,0.333333333,43.40633333
1970,10,40,4,0.75,42.3095
1970,11,40,1,0,40.371
1980,0,40,2,1,43.3815
1980,2,40,2,1,42.2405
1980,3,40,2,1,42.8505
1980,5,40,2,1,41.2665
1980,6,40,1,0,43.001
1980,7,40,4,1,43.13475
1980,8,40,1,1,42.403
1980,9,40,1,0,43.309
1980,10,40,2,0.5,43.0195
1990,0,40,8,0.625,42.78275
1990,1,40,5,1,41.9974
1990,2,40,5,1,42.0796
1990,3,40,3,1,42.67033333
1990,4,40,5,0.8,43.204
1990,5,40,9,0.666666667,42.93077778
1990,7,40,11,0.545454545,42.38636364
1990,8,40,3,0.666666667,41.89
1990,9,40,9,0.444444444,41.62411111
1990,10,40,2,0.5,41.93
1990,11,40,7,0.857142857,42.619
2000,0,40,21,0.761904762,42.54838095
2000,1,40,12,0.916666667,42.02733333
2000,2,40,17,0.705882353,42.26
2000,3,40,16,0.75,41.5855
2000,4,40,13,0.692307692,42.27707692
2000,5,40,6,0.833333333,43.9375
2000,6,40,3,1,42.31666667
2000,7,40,13,0.769230769,42.20192308
2000,8,40,12,0.666666667,42.8885
2000,9,40,9,0.777777778,42.15233333
2000,10,40,5,0.6,41.822
2000,11,40,10,0.4,42.8205
2010,0,40,1,1,40.682
1940,10,45,1,1,46.626
1950,2,45,1,0,45.36
1950,10,45,2,1,47.58
1960,0,45,2,1,48.148
1960,1,45,1,0,46.16
1960,2,45,1,1,46.767
1960,3,45,2,1,48.02
1960,4,45,1,1,45.088
1960,5,45,1,1,48.857
1960,7,45,3,0.333333333,46.57033333
1960,8,45,1,1,48.113
1960,9,45,1,1,45.152
1960,11,45,2,1,49.6235
1970,0,45,2,1,48.0345
1970,2,45,1,1,47.905
1970,5,45,2,0.5,46.2195
1970,7,45,3,1,47.744
1980,0,45,2,1,48.1695
1980,1,45,2,1,45.8375
1980,3,45,1,0,45.728
1980,4,45,3,0.666666667,47.68633333
1980,5,45,3,0.333333333,47.08033333
1980,7,45,2,1,46.5895
1980,8,45,3,0.666666667,48.64133333
1980,9,45,4,1,47.1565
1980,10,45,4,1,47.4295
1990,0,45,3,0.666666667,48.554
1990,1,45,6,1,47.41566667
1990,2,45,8,0.875,47.440625
1990,3,45,1,0,48.671
1990,4,45,7,0.428571429,46.94885714
1990,5,45,4,0.5,48.60175
1990,6,45,3,0.666666667,45.685
1990,7,45,1,1,46.051
1990,8,45,3,1,47.57766667
1990,9,45,4,0.25,47.0365
1990,10,45,5,0.6,46.3744
1990,11,45,4,0.5,47.239
2000,0,45,19,0.736842105,47.301
2000,1,45,15,0.4,47.32713333
2000,2,45,10,0.3,46.4166
2000,3,45,7,0.571428571,46.57085714
2000,4,45,14,0.571428571,47.87957143
2000,5,45,14,0.571428571,47.55807143
2000,6,45,3,0.333333333,46.51766667
2000,7,45,22,0.636363636,47.11354545
2000,8,45,13,0.923076923,46.99276923
2000,9,45,10,0.9,47.8946
2000,10,45,17,0.470588235,47.21458824
2000,11,45,9,0.444444444,46.90211111
2010,5,45,1,0,46.53
2010,10,45,1,1,48.415
1940,5,50,1,1,53.001
1950,6,50,1,1,54.904
1960,2,50,1,1,51.321
1960,5,50,1,1,52.335
1960,6,50,1,1,52.683
1960,7,50,2,1,53.162
1960,8,50,1,1,50.236
1960,10,50,1,1,53.471
1970,2,50,1,1,53.72
1970,4,50,1,0,51.354
1970,5,50,2,0.5,51.451
1970,9,50,1,1,53.731
1980,0,50,1,0,52.307
1980,1,50,2,0.5,50.92
1980,2,50,6,0.666666667,52.1675
1980,3,50,1,1,50.532
1980,4,50,1,1,54.955
1980,5,50,2,0.5,51.8365
1980,6,50,2,0.5,53.127
1980,7,50,1,0,50.323
1980,9,50,1,1,52.815
1980,10,50,1,1,50.43
1980,11,50,1,1,54.95
1990,0,50,11,1,51.97436364
1990,1,50,4,0.75,53.29525
1990,2,50,4,1,51.081
1990,3,50,5,0.8,51.6884
1990,4,50,4,0.5,53.7585
1990,5,50,5,0.6,52.143
1990,6,50,2,0.5,52.4755
1990,7,50,9,0.777777778,53.386
1990,8,50,3,0.666666667,51.79
1990,9,50,11,1,52.66190909
1990,10,50,8,0.5,52.399875
1990,11,50,4,1,52.066
2000,0,50,26,0.807692308,52.828
2000,1,50,13,0.615384615,52.14669231
2000,2,50,19,0.842105263,52.95405263
2000,3,50,7,0.714285714,51.31542857
2000,4,50,8,0.625,52.64275
2000,5,50,5,0.8,52.7684
2000,6,50,8,0.625,52.4175
2000,7,50,17,0.823529412,52.42588235
2000,8,50,14,0.785714286,52.39614286
2000,9,50,15,0.666666667,52.72886667
2000,10,50,7,0.714285714,52.921
2000,11,50,12,0.416666667,52.88941667
2010,0,50,1,0,54.264
2010,5,50,1,1,52.271
1940,2,55,1,1,59.844
1950,0,55,1,1,57.41
1950,2,55,1,1,59.662
1950,4,55,1,1,59.983
1950,10,55,1,1,58.469
1960,1,55,2,1,58.3055
1960,2,55,2,0.5,56.5485
1960,3,55,3,0,57.19466667
1960,5,55,3,1,58.07933333
1960,6,55,1,0,56.732
1960,7,55,2,1,58.2585
1960,8,55,1,1,59.899
1960,9,55,2,0,56.481
1960,10,55,3,0.666666667,57.465
1960,11,55,2,0,57.1725
1970,0,55,2,0.5,58.1405
1970,1,55,1,1,55.31
1970,2,55,3,0.333333333,58.10633333
1970,3,55,2,1,57.1875
1970,4,55,1,1,59.965
1970,5,55,2,0.5,56.8245
1970,6,55,1,0,59.329
1970,7,55,3,0.666666667,56.422
1970,9,55,4,1,58.46625
1970,10,55,2,1,58.862
1980,0,55,7,0.571428571,57.88528571
1980,1,55,5,0.6,58.908
1980,2,55,2,0,57.0445
1980,3,55,3,0.666666667,57.416
1980,4,55,6,0.333333333,57.07783333
1980,5,55,4,1,58.369
1980,7,55,5,0.2,58.397
1980,8,55,2,1,57.27
1980,9,55,3,0.666666667,58.03166667
1980,10,55,4,1,58.41375
1980,11,55,4,0.75,57.031
1990,0,55,9,1,57.98122222
1990,1,55,8,0.875,56.91375
1990,2,55,13,0.846153846,57.54923077
1990,3,55,7,0.571428571,57.11928571
1990,4,55,6,0.5,58.53783333
1990,5,55,10,0.6,57.9647
1990,6,55,5,0.6,57.3698
1990,7,55,12,0.666666667,57.32225
1990,8,55,1,0,55.559
1990,9,55,17,0.647058824,57.82623529
1990,10,55,5,0.2,57.78
1990,11,55,7,0.571428571,58.03714286
2000,0,55,36,0.861111111,58.24572222
2000,1,55,21,0.761904762,58.16557143
2000,2,55,23,0.739130435,57.82947826
2000,3,55,8,0.75,57.757375
2000,4,55,21,0.476190476,58.50542857
2000,5,55,10,0.9,58.0383
2000,6,55,13,0.846153846,57.859
2000,7,55,27,0.814814815,57.71914815
2000,8,55,5,0.8,58.056
2000,9,55,28,0.5,57.71139286
2000,10,55,15,0.533333333,57.165
2000,11,55,12,0.916666667,57.3565
2010,0,55,1,0,56.201
2010,7,55,1,1,58.503
1920,9,60,1,1,62.057
1930,10,60,1,1,61.481
1940,8,60,2,1,62.877
1950,0,60,1,1,62.409
1950,1,60,2,1,62.409
1950,3,60,1,1,60.666
1950,4,60,2,1,64.2045
1950,6,60,1,0,63.035
1950,7,60,2,1,60.79
1950,8,60,1,1,61.733
1950,9,60,1,1,62.381
1950,10,60,1,1,60.508
1950,11,60,1,1,63.776
1960,0,60,4,0.75,61.4765
1960,1,60,1,1,60.659
1960,2,60,5,0.4,63.1036
1960,3,60,2,0.5,64.4185
1960,4,60,2,0.5,62.712
1960,5,60,3,0.333333333,62.13066667
1960,7,60,5,0.8,61.4622
1960,8,60,3,0.666666667,63.20733333
1960,9,60,6,0.666666667,63.38116667
1960,10,60,1,1,64.609
1970,0,60,7,0.857142857,62.13057143
1970,2,60,7,0.571428571,64.16971429
1970,3,60,3,0.666666667,61.75
1970,4,60,5,0.4,63.8016
1970,5,60,2,0.5,62.7545
1970,6,60,1,1,60.33
1970,7,60,6,0.833333333,63.78466667
1970,8,60,3,1,60.83666667
1970,9,60,6,0.666666667,63.02766667
1970,10,60,1,0,62.673
1980,0,60,13,0.692307692,63.00784615
1980,1,60,4,1,62.583
1980,2,60,10,0.6,63.2639
1980,3,60,2,1,62.2285
1980,4,60,3,0.666666667,62.787
1980,5,60,4,0.75,62.855
1980,6,60,5,0.4,64.1006
1980,7,60,6,0.833333333,62.82766667
1980,8,60,2,1,63.002
1980,9,60,9,0.888888889,62.42922222
1980,10,60,4,0.5,62.2195
1980,11,60,2,0,63.7035
1990,0,60,40,0.85,62.76545
1990,1,60,15,0.666666667,61.98086667
1990,2,60,19,0.736842105,62.87889474
1990,3,60,7,0.857142857,63.41742857
1990,4,60,20,0.7,62.70055
1990,5,60,19,0.578947368,62.33173684
1990,6,60,12,0.583333333,63.07958333
1990,7,60,24,0.541666667,62.666875
1990,8,60,18,0.666666667,63.10222222
1990,9,60,24,0.416666667,63.05620833
1990,10,60,13,0.384615385,62.63338462
1990,11,60,23,0.47826087,62.69495652
2000,0,60,68,0.838235294,63.40982353
2000,1,60,56,0.75,62.293
2000,2,60,58,0.74137931,62.54363793
2000,3,60,19,0.578947368,62.76026316
2000,4,60,30,0.633333333,62.33763333
2000,5,60,34,0.647058824,62.88244118
2000,6,60,29,0.413793103,62.36041379
2000,7,60,47,0.872340426,62.65053191
2000,8,60,29,0.620689655,63.06941379
2000,9,60,58,0.534482759,62.66118966
2000,10,60,34,0.588235294,62.58132353
2000,11,60,53,0.320754717,62.59043396
2010,0,60,1,1,60.335
2010,1,60,1,1,60.65
2010,3,60,1,1,60.5
2010,6,60,1,0,60.039
2010,7,60,1,0,63.67
2010,8,60,1,1,63.471
2010,9,60,3,0.333333333,63.16166667
2010,11,60,2,0,61.4895
1920,11,65,1,1,68.994
1940,3,65,1,1,67.524
1950,0,65,5,0.4,68.3502
1950,2,65,1,1,69.504
1950,3,65,1,1,66.189
1950,7,65,3,0.666666667,67.688
1950,9,65,4,0.5,68.682
1950,10,65,1,1,69.542
1960,0,65,4,0.75,67.952
1960,1,65,2,1,67.494
1960,2,65,5,0.8,67.2372
1960,3,65,3,0.666666667,67.521
1960,4,65,2,0.5,67.0155
1960,5,65,3,0.666666667,67.897
1960,6,65,1,1,67.166
1960,7,65,3,1,67.69833333
1960,9,65,2,0.5,68.521
1960,10,65,5,1,67.211
1960,11,65,1,1,65.879
1970,0,65,8,1,67.9855
1970,1,65,4,0.75,65.84425
1970,2,65,6,0.833333333,67.65866667
1970,3,65,2,0.5,66.4945
1970,4,65,5,0.6,68.0954
1970,5,65,6,0.666666667,66.60783333
1970,6,65,5,0.4,67.8516
1970,7,65,8,0.875,68.605375
1970,8,65,2,1,66.0205
1970,9,65,14,0.571428571,67.51742857
1970,10,65,3,0.333333333,68.90033333
1980,0,65,17,1,66.76923529
1980,1,65,11,0.727272727,66.80109091
1980,2,65,16,0.75,67.3233125
1980,3,65,3,1,67.894
1980,4,65,12,0.5,67.74041667
1980,5,65,8,0.375,67.423375
1980,6,65,5,0.8,66.4404
1980,7,65,14,0.857142857,67.84964286
1980,8,65,2,0.5,68.2705
1980,9,65,5,0.6,67.593
1980,10,65,4,0.75,66.94325
1980,11,65,11,0.272727273,66.95272727
1990,0,65,52,0.865384615,67.02517308
1990,1,65,19,0.684210526,67.28826316
1990,2,65,34,0.705882353,67.92344118
1990,3,65,9,0.888888889,66.86855556
1990,4,65,25,0.64,67.51756
1990,5,65,24,0.791666667,67.838875
1990,6,65,21,0.714285714,67.73047619
1990,7,65,42,0.833333333,67.63752381
1990,8,65,18,0.833333333,67.93572222
1990,9,65,45,0.644444444,67.80033333
1990,10,65,22,0.681818182,67.26709091
1990,11,65,21,0.285714286,68.13780952
2000,0,65,106,0.70754717,67.57578302
2000,1,65,58,0.655172414,67.58268966
2000,2,65,84,0.821428571,67.59571429
2000,3,65,37,0.594594595,67.66878378
2000,4,65,60,0.616666667,67.62416667
2000,5,65,68,0.691176471,67.46316176
2000,6,65,39,0.435897436,67.74530769
2000,7,65,104,0.855769231,67.66058654
2000,8,65,37,0.72972973,67.54645946
2000,9,65,69,0.52173913,67.4007971
2000,10,65,54,0.703703704,67.62385185
2000,11,65,69,0.52173913,67.56731884
2010,0,65,1,0,65.315
2010,1,65,1,0,69.802
2010,2,65,1,1,69.23
2010,4,65,1,0,68.371
2010,5,65,2,0,67.5545
2010,6,65,1,0,69.125
2010,9,65,1,1,69.008
2010,10,65,1,0,65.376
1920,4,70,1,1,73.44
1930,10,70,1,1,70.407
1940,0,70,2,1,71.039
1940,2,70,1,0,73.076
1940,7,70,1,0,73.603
1950,0,70,6,0.333333333,71.18283333
1950,2,70,1,1,74.932
1950,4,70,2,0.5,72.7365
1950,5,70,1,1,70.922
1950,6,70,2,0,73.6375
1950,8,70,1,1,71.178
1950,9,70,5,0.6,72.7492
1950,10,70,5,0.8,72.6212
1950,11,70,2,0.5,73.771
1960,0,70,10,0.9,72.5675
1960,1,70,3,0.666666667,73.23266667
1960,2,70,5,0.6,72.2332
1960,3,70,4,0.75,72.8785
1960,4,70,6,0.5,73.03966667
1960,5,70,8,1,71.53475
1960,6,70,1,1,72.48
1960,7,70,8,0.875,72.580875
1960,8,70,3,0.333333333,72.65633333
1960,9,70,9,0.666666667,72.37177778
1960,10,70,7,0.714285714,72.83542857
1960,11,70,2,0,72.883
1970,0,70,9,0.777777778,72.23511111
1970,1,70,1,0,73.364
1970,2,70,19,1,73.15884211
1970,3,70,4,0.75,73.25275
1970,4,70,9,0.555555556,71.70311111
1970,5,70,17,0.882352941,73.40541176
1970,6,70,4,0.75,71.79275
1970,7,70,15,0.8,72.9152
1970,8,70,3,0.666666667,72.55733333
1970,9,70,14,0.571428571,72.00942857
1970,10,70,12,0.916666667,72.02766667
1970,11,70,7,0.714285714,73.00585714
1980,0,70,31,0.774193548,72.34658065
1980,1,70,10,1,72.1104
1980,2,70,20,0.8,72.75595
1980,3,70,9,1,73.15677778
1980,4,70,14,0.785714286,73.01878571
1980,5,70,17,0.764705882,72.36211765
1980,6,70,11,0.363636364,72.24236364
1980,7,70,28,0.821428571,72.48860714
1980,8,70,7,0.714285714,71.86928571
1980,9,70,16,0.6875,71.8640625
1980,10,70,11,0.818181818,72.91218182
1980,11,70,8,0.5,72.74875
1990,0,70,60,0.833333333,72.32453333
1990,1,70,42,0.785714286,72.95185714
1990,2,70,71,0.732394366,72.67404225
1990,3,70,22,0.772727273,72.58772727
1990,4,70,53,0.528301887,72.77290566
1990,5,70,41,0.902439024,72.80717073
1990,6,70,18,0.444444444,72.74411111
1990,7,70,57,0.877192982,72.13822807
1990,8,70,21,0.80952381,72.51709524
1990,9,70,60,0.583333333,72.47315
1990,10,70,30,0.733333333,72.27013333
1990,11,70,25,0.4,72.4432
2000,0,70,140,0.771428571,72.88833571
2000,1,70,84,0.678571429,72.57340476
2000,2,70,154,0.792207792,72.75944805
2000,3,70,39,0.769230769,72.74733333
2000,4,70,102,0.647058824,72.56958824
2000,5,70,76,0.723684211,72.70384211
2000,6,70,54,0.537037037,72.37603704
2000,7,70,145,0.8,72.3839931
2000,8,70,60,0.65,72.83161667
2000,9,70,120,0.558333333,72.59205833
2000,10,70,65,0.646153846,72.37655385
2000,11,70,76,0.5,72.74989474
2010,0,70,4,1,71.087
2010,1,70,1,0,73.797
2010,2,70,2,0.5,74.5425
2010,4,70,4,0.75,72.89025
2010,5,70,1,1,71.231
2010,6,70,3,0.666666667,73.00333333
2010,8,70,1,1,71.531
2010,9,70,1,1,72.422
2010,10,70,1,1,74.329
1920,3,75,1,1,77.331
1930,4,75,1,0,75.315
1930,8,75,1,1,79.758
1930,10,75,1,0,75.182
1930,11,75,1,1,78.589
1940,0,75,3,0.666666667,79.14566667
1940,2,75,1,1,79.765
1940,6,75,1,1,78.137
1940,9,75,2,1,78.7155
1940,11,75,1,1,78.922
1950,0,75,1,0,75.386
1950,1,75,3,0.666666667,77.71933333
1950,2,75,2,0.5,75.917
1950,3,75,1,1,75.932
1950,4,75,3,0.333333333,77.93933333
1950,5,75,6,0.833333333,77.4455
1950,8,75,2,0.5,76.728
1950,9,75,7,0.857142857,77.66814286
1950,10,75,2,1,79.1245
1950,11,75,2,1,77.432
1960,0,75,7,0.857142857,77.98257143
1960,1,75,4,0.75,77.508
1960,2,75,17,0.764705882,76.857
1960,3,75,3,1,76.28733333
1960,4,75,7,0.571428571,78.12642857
1960,5,75,9,0.888888889,77.49233333
1960,6,75,1,1,76.953
1960,7,75,5,1,77.803
1960,8,75,6,0.833333333,78.01916667
1960,9,75,7,0.857142857,77.531
1960,10,75,14,0.785714286,77.79485714
1960,11,75,3,0.333333333,76.84666667
1970,0,75,30,0.9,77.62663333
1970,1,75,9,0.777777778,77.424
1970,2,75,22,0.818181818,77.54363636
1970,3,75,5,0.8,76.8224
1970,4,75,12,0.75,78.04141667
1970,5,75,19,0.736842105,77.38510526
1970,7,75,21,0.857142857,77.48509524
1970,8,75,10,0.8,77.0331
1970,9,75,22,0.727272727,77.11781818
1970,10,75,5,0.8,78.3336
1970,11,75,7,0.285714286,79.10385714
1980,0,75,29,0.862068966,77.81296552
1980,1,75,18,0.666666667,77.77844444
1980,2,75,31,0.741935484,77.31867742
1980,3,75,11,0.727272727,76.92045455
1980,4,75,24,0.625,77.44866667
1980,5,75,21,0.714285714,77.82880952
1980,6,75,18,0.555555556,77.34477778
1980,7,75,27,0.740740741,77.74266667
1980,8,75,14,0.928571429,77.06564286
1980,9,75,28,0.642857143,77.84071429
1980,10,75,16,0.625,77.1368125
1980,11,75,15,0.466666667,77.7172
1990,0,75,75,0.893333333,77.36122667
1990,1,75,44,0.886363636,77.46375
1990,2,75,92,0.793478261,77.44645652
1990,3,75,29,0.827586207,78.01517241
1990,4,75,60,0.633333333,77.5648
1990,5,75,48,0.770833333,77.42810417
1990,6,75,28,0.607142857,78.34775
1990,7,75,92,0.826086957,77.6263587
1990,8,75,36,0.694444444,77.55738889
1990,9,75,82,0.707317073,77.4694878
1990,10,75,54,0.722222222,77.34411111
1990,11,75,44,0.568181818,77.61220455
2000,0,75,179,0.82122905,77.64085475
2000,1,75,109,0.706422018,77.53606422
2000,2,75,145,0.8,77.62374483
2000,3,75,59,0.711864407,77.65176271
2000,4,75,132,0.522727273,77.56019697
2000,5,75,103,0.747572816,77.64857282
2000,6,75,80,0.5625,77.4323125
2000,7,75,180,0.766666667,77.40833889
2000,8,75,85,0.729411765,77.46328235
2000,9,75,186,0.537634409,77.63184946
2000,10,75,68,0.544117647,77.48966176
2000,11,75,82,0.43902439,77.48510976
2010,0,75,4,1,77.73625
2010,1,75,2,0.5,79.4905
2010,4,75,2,0.5,76.3455
2010,5,75,1,0,78.336
2010,6,75,1,1,77.69
2010,7,75,3,1,75.63
2010,9,75,2,1,75.126
2010,10,75,2,0.5,77.459
1920,3,80,1,1,84.398
1920,4,80,1,1,81.278
1930,5,80,2,1,84.293
1930,8,80,1,1,84.918
1930,9,80,1,0,81.558
1940,0,80,1,1,84.056
1940,1,80,1,1,83.674
1940,7,80,1,1,84.211
1940,10,80,1,1,80.044
1950,0,80,4,1,82.254
1950,1,80,3,1,80.80466667
1950,2,80,5,0.6,83.2258
1950,3,80,1,1,82.346
1950,4,80,2,0,83.379
1950,5,80,6,0.666666667,82.09833333
1950,6,80,1,0,81.067
1950,7,80,3,0.666666667,83.10033333
1950,8,80,3,1,83.05333333
1950,9,80,3,1,83.57066667
1950,10,80,3,1,82.442
1960,0,80,13,0.769230769,82.40323077
1960,1,80,8,0.75,83.50325
1960,2,80,12,0.75,83.138
1960,3,80,4,0.75,83.4545
1960,4,80,9,0.777777778,82.82544444
1960,5,80,13,0.692307692,82.22146154
1960,6,80,2,0.5,81.6915
1960,7,80,18,0.611111111,82.7595
1960,8,80,4,0.5,83.797
1960,9,80,18,0.666666667,82.44111111
1960,10,80,10,0.8,81.8154
1960,11,80,6,0.333333333,81.63583333
1970,0,80,29,0.965517241,82.93768966
1970,1,80,12,0.666666667,82.98516667
1970,2,80,31,0.709677419,83.1973871
1970,3,80,10,0.8,82.4349
1970,4,80,21,0.571428571,82.87819048
1970,5,80,22,0.681818182,82.96113636
1970,6,80,13,0.615384615,82.97930769
1970,7,80,33,0.787878788,82.67290909
1970,8,80,7,0.857142857,83.05957143
1970,9,80,32,0.625,82.89353125
1970,10,80,8,0.75,83.053625
1970,11,80,14,0.5,82.25735714
1980,0,80,54,0.907407407,82.88268519
1980,1,80,23,0.565217391,82.97195652
1980,2,80,49,0.836734694,82.84267347
1980,3,80,17,1,82.40764706
1980,4,80,31,0.580645161,82.69648387
1980,5,80,32,0.71875,82.8964375
1980,6,80,10,0.6,82.6876
1980,7,80,44,0.931818182,83.56695455
1980,8,80,21,0.666666667,82.85528571
1980,9,80,47,0.659574468,83.01657447
1980,10,80,23,0.782608696,82.87473913
1980,11,80,24,0.458333333,82.575625
1990,0,80,148,0.77027027,82.9345473
1990,1,80,70,0.828571429,83.32671429
1990,2,80,125,0.784,82.948408
1990,3,80,38,0.763157895,82.44313158
1990,4,80,99,0.494949495,82.72352525
1990,5,80,74,0.675675676,83.04477027
1990,6,80,62,0.483870968,82.80987097
1990,7,80,148,0.864864865,82.99396622
1990,8,80,48,0.8125,82.86510417
1990,9,80,159,0.716981132,82.73859119
1990,10,80,64,0.71875,82.51254688
1990,11,80,78,0.397435897,82.8129359
2000,0,80,332,0.792168675,82.63839157
2000,1,80,186,0.704301075,82.92133333
2000,2,80,270,0.781481481,82.76869259
2000,3,80,93,0.709677419,82.78988172
2000,4,80,241,0.56846473,82.84473859
2000,5,80,164,0.640243902,82.83111585
2000,6,80,142,0.471830986,83.03764789
2000,7,80,298,0.818791946,82.86980201
2000,8,80,137,0.729927007,82.77417518
2000,9,80,299,0.635451505,82.85197993
2000,10,80,135,0.562962963,82.76847407
2000,11,80,197,0.431472081,82.93852284
2010,0,80,6,0.833333333,83.5745
2010,1,80,4,0.75,83.591
2010,2,80,5,0.6,82.5534
2010,3,80,3,1,81.485
2010,4,80,4,0.75,83.658
2010,5,80,2,0,81.447
2010,6,80,3,0.333333333,81.578
2010,7,80,6,0.833333333,82.78183333
2010,8,80,4,0.75,82.005
2010,9,80,7,0.571428571,83.67414286
2010,10,80,4,0.5,82.56125
2010,11,80,4,0,83.59275
1920,3,85,1,0,85.804
1920,8,85,1,0,89.157
1920,9,85,1,1,88.905
1930,0,85,2,1,86.995
1930,5,85,1,1,86.152
1930,6,85,1,1,86.2
1930,7,85,1,1,86.921
1930,11,85,2,0,86.0205
1940,2,85,2,1,86.106
1940,7,85,1,1,86.701
1950,0,85,5,1,87.3254
1950,1,85,3,1,86.45
1950,2,85,6,1,88.38383333
1950,3,85,4,0.75,87.9835
1950,4,85,4,1,87.2845
1950,5,85,4,0.75,87.16
1950,6,85,1,0,85.738
1950,7,85,2,1,87.9305
1950,8,85,1,1,88.48
1950,9,85,4,0.75,86.24475
1950,10,85,3,1,87.42833333
1950,11,85,2,1,88.523
1960,0,85,32,0.875,87.37878125
1960,1,85,8,0.5,87.8885
1960,2,85,27,0.777777778,87.51285185
1960,3,85,8,0.875,87.782
1960,4,85,17,0.764705882,86.90041176
1960,5,85,19,0.947368421,87.33584211
1960,6,85,9,0.555555556,87.85555556
1960,7,85,24,1,87.50895833
1960,8,85,10,0.8,87.1242
1960,9,85,26,0.653846154,87.42592308
1960,10,85,17,0.764705882,87.78911765
1960,11,85,11,0.636363636,86.64363636
1970,0,85,72,0.902777778,87.47818056
1970,1,85,19,0.842105263,87.67715789
1970,2,85,66,0.833333333,87.61015152
1970,3,85,14,0.785714286,87.49571429
1970,4,85,31,0.677419355,87.82587097
1970,5,85,37,0.918918919,87.52689189
1970,6,85,19,0.631578947,87.14426316
1970,7,85,66,0.833333333,87.56031818
1970,8,85,5,0.8,88.9108
1970,9,85,61,0.655737705,87.42047541
1970,10,85,18,0.611111111,87.33311111
1970,11,85,34,0.205882353,87.39891176
1980,0,85,106,0.886792453,87.50859434
1980,1,85,45,0.688888889,87.36662222
1980,2,85,81,0.827160494,87.40781481
1980,3,85,34,0.735294118,87.54011765
1980,4,85,59,0.525423729,87.26149153
1980,5,85,57,0.754385965,87.36149123
1980,6,85,46,0.652173913,87.36236957
1980,7,85,99,0.919191919,87.55167677
1980,8,85,28,0.821428571,87.47
1980,9,85,105,0.638095238,87.49592381
1980,10,85,43,0.488372093,87.92251163
1980,11,85,58,0.293103448,87.56410345
1990,0,85,303,0.861386139,87.49756436
1990,1,85,178,0.803370787,87.56760674
1990,2,85,309,0.851132686,87.48264078
1990,3,85,74,0.72972973,87.36209459
